IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location
130782392,NON-CRIMINAL,TRAFFIC ACCIDENT,Tuesday,09/17/2013,13:20,TARAVAL,NONE,JUNIPERO SERRA BL / 19TH AV,-122.472570418291,37.7171734075622,"(37.7171734075622, -122.472570418291)"
120434973,NON-CRIMINAL,TRAFFIC ACCIDENT,Friday,06/01/2012,18:30,TENDERLOIN,NONE,GOLDEN GATE AV / LEAVENWORTH ST,-122.413869632554,37.7818621883021,"(37.7818621883021, -122.413869632554)"
070217445,NON-CRIMINAL,TRAFFIC ACCIDENT,Thursday,03/01/2007,20:30,RICHMOND,NONE,TURK ST / CHABOT TR,-122.451542905384,37.778049916106,"(37.778049916106, -122.451542905384)"
130732228,NON-CRIMINAL,TRAFFIC ACCIDENT,Monday,09/02/2013,13:45,MISSION,"ARREST, CITED",HARTFORD ST / 19TH ST,-122.433745069841,37.7593564327499,"(37.7593564327499, -122.433745069841)"
060189854,NON-CRIMINAL,TRAFFIC ACCIDENT,Sunday,02/19/2006,13:12,SOUTHERN,"ARREST, CITED",800 Block of BRYANT ST,-122.403404791479,37.775420706711,"(37.775420706711, -122.403404791479)"
100169190,NON-CRIMINAL,TRAFFIC ACCIDENT,Friday,02/19/2010,21:31,RICHMOND,"ARREST, BOOKED",25TH AV / LAKE ST,-122.48514929277,37.785743398885,"(37.785743398885, -122.48514929277)"
061081718,NON-CRIMINAL,TRAFFIC ACCIDENT,Tuesday,10/10/2006,12:30,INGLESIDE,NONE,200 Block of STAPLES AV,-122.447728292145,37.729022854072,"(37.729022854072, -122.447728292145)"
120622184,NON-CRIMINAL,TRAFFIC ACCIDENT,Monday,08/06/2012,15:45,BAYVIEW,NONE,PALOU AV / KEITH ST,-122.38716770759,37.7318594482631,"(37.7318594482631, -122.38716770759)"
060103177,NON-CRIMINAL,TRAFFIC ACCIDENT,Friday,01/27/2006,13:54,PARK,PSYCHOPATHIC CASE,DUBOCE AV / NOE ST,-122.433575097282,37.7691767476277,"(37.7691767476277, -122.433575097282)"
041444512,NON-CRIMINAL,TRAFFIC ACCIDENT,Tuesday,12/21/2004,16:02,TENDERLOIN,NONE,400 Block of TAYLOR ST,-122.411354159199,37.7864856977657,"(37.7864856977657, -122.411354159199)"
